Begin Time - msec	End Time - msec	Duration - msec	gaze s1	gaze s2	gaze s3	
357202	358769	1567		face s1	
358769	366245	7476		face s3	
366245	366801	556	face s3	background window	background wall
366801	368042	1241	face s3	face s1	background wall
368042	368404	362	face s3	background wall	
368404	368807	403	face s3	face s3	background floor
368807	369241	434	face s3	background wall	
369241	371285	2044		face s3	
371285	371611	326	background eyes closed	NA	
371611	371882	271	background eyes closed	face s3	NA
371882	372605	723		NA	
372606	375643	3037	background wall	face s3	
375643	376049	406	background wall	background wall	
376049	376248	199		face s3	background wall
376249	377682	1433		background wall	
377682	378058	376		face s3	face s1
378058	378437	379	background floor	background wall	face s1
378437	379245	808	background floor	face s3	face s1
379245	379601	356	background floor	background wall	face s1
379601	381323	1722		face s1	
381323	381800	477	face s3 	NA	
381800	383140	1340		face s1	face s1
383140	385853	2713		body s1	
385853	387717	1864	face s3	face s1	
387717	389002	1285		body s1	face s1
389002	389804	802		background wall	face s1
389805	391148	1343		face s1	face s1
391148	391766	618		NA	face s1
391766	392443	677		face s1	face s1
392444	392976	532	face s3	background wall	face s1
392977	393213	236	face s3	body s1	face s1
393215	394052	837	face s3	face s1	face s1
394052	394327	275	face s3	background wall	face s1
394328	395842	1514		face s1	
395842	397600	1758		body s1	
397600	397973	373	face s3	face s1	
397973	398582	609		background wall	
398582	400768	2186		background floor	
400768	401606	838		NA	face s1
401606	402011	405	background wall	background camera	face s1
402011	402688	677		body s1	
402688	402885	197	background eyes closed	face s1	background wall
402885	403879	994	background eyes closed	body s1	
403879	405129	1250		face s1	
405129	406447	1318	face s3	background wall	face s1
406447	406925	478	face s3	NA	
406926	407082	156	face s3	face s3	background wall
407082	407444	362		NA	
407444	409927	2483		face s3	
409927	410084	157	face s3	background wall	NA
410084	411404	1320	face s3	NA	
411404	411573	169	face s3	background camera	
411573	412322	749		face s3	
412322	412921	599	NA	NA	face s1
412921	413246	325	NA	face s3	face s1
413246	413554	308	NA	NA	
413554	413900	346	NA	face s3	NA
413900	415364	1464	NA	background wall	
415364	415763	399	NA	NA	face s1
415763	416362	599		face s1	
416362	418321	1959	face s2	background ceiling	
418321	419524	1203	face s2	NA	face s2
419524	421519	1995	face s2	background floor	face s2
421519	422062	543	face s2	background camera	face s2
422063	424574	2511		face s1	
424574	425977	1403		face s3	NA
425977	426561	584	face s2	NA	
426561	427084	523		background floor	
427084	429292	2208		face s1	
429294	429719	425	face s2	NA	face s2
429719	430611	892		face s1	face s2
430611	431866	1255	face s2	background wall	
431866	432522	656	face s2	face s3	face s2
432522	433722	1200	face s2	background wall	face s2
433724	434243	519	face s2	face s1	face s2
434245	435244	999	face s2	body s1	face s2
435244	436362	1118	face s2	face s1	face s2
436363	436692	329	face s2	background wall	face s2
436692	438921	2229		face s1	
438921	442394	3473		face s3	
442399	442803	404	face s2	background wall	
442803	443284	481	face s2	face s1	face s2
443284	443611	327	face s2	NA	face s2
443611	444065	454	face s2	face s1	face s2
444065	444482	417	face s2	background camera	face s2
444484	444641	157	face s2	face s1	face s2
444641	444890	249	face s2	background wall	face s2
444890	445200	310		NA	face s2
445200	445336	136	background eyes closed	background wall	face s2
445336	445485	149	background eyes closed	face s1	face s2
445485	445988	503	background eyes closed	face s3	face s2
445989	448763	2774		NA	
448763	450366	1603		background wall	
450366	450521	155	NA	face s1	face s1
450521	450923	402		background camera	
450926	452165	1239		face s3	face s2
452165	452641	476	NA	NA	
452641	456253	3612		face s1	
456254	456535	281		background wall	face s1
456535	457882	1347		NA	face s1
457882	458972	1090		background floor	
458972	459314	342	face s2	background camera	background wall
459314	460131	817	face s2	background wall	
460131	461285	1154	face s2	face s1	face s2
461285	461443	158	face s2	NA	face s2
461443	461768	325	face s2	background wall	face s2
461768	465853	4085		face s1	
465853	466658	805	background own body	background wall	
466658	466876	218	background own body	NA	body s1
466876	467805	929		background wall	
467805	468125	320	NA	NA	
468125	468515	390	NA	NA	face s1
468515	469059	544	NA	face s3	face s1
469059	469765	706	NA	NA	
469765	470787	1022		face s3	background floor
470787	471947	1160	background window	background wall	
471948	473930	1982		background floor	background camera
473930	476860	2930		face s3	
476860	477282	422	background camera	background ceiling	face s1
477282	479058	1776		NA	
479058	479907	849		background wall	background camera
479907	480222	315	NA	face s1	background camera
480222	480664	442	NA	background wall	background camera
480665	480841	176	NA	face s1	
480841	481110	269	NA	background wall	face s1
481112	482489	1377		face s3	face s1
482489	483163	674		background wall	
483163	484129	966	face s3	face s3	
484129	484489	360	face s3	NA	
484489	484609	120	face s3	background wall	face s1
484610	484759	149		face s3	face s1
484759	484932	173	face s2	background wall	face s1
484932	485280	348	face s2	face s3	
485281	485688	407	face s2	NA	face s2
485688	487238	1550		face s3	
487238	487648	410	face s3	background ceiling	face s1
487648	488875	1227		NA	face s1
488875	490668	1793		background floor	
490668	491321	653	background own body	face s1	
491321	491780	459		background own body	face s2
491780	492041	261	face s3	face s3	face s2
492041	492229	188	face s3	background wall	face s2
492231	492404	173		NA	face s2
492404	492765	361	face s2	face s3	face s2
492765	493242	477	face s2	background wall	face s2
493242	493854	612	face s2	face s3	face s2
493854	494007	153		background wall	face s2
494007	494210	203	body s2	face s3	face s2
494210	494617	407		background wall	face s2
494617	499644	5027		face s1	
499644	500825	1181		body s1	
